60 25
############################################################
#                                                          #
#                                                          #
#                                                          #
#                        #                                 #
#                         #                                #
#                          #                               #
#                           #                              #
#        ####                                              #
#          #                                               #
#          #                                               #
#          #                                               #
#          #                                               #
#                                                          #
#                                                          #
#                                                          #
#                                                          #
#                    ######                                #
#                                                          #
#                                                          #
#                                                          #
#                                                          #
#                                                          #
#                                                          #
############################################################
